date,prob_calmer_growth,prob_transition,prob_stress
2021-03-31,0.9299896699118153,0.06996062825601956,4.9701832165303975e-05
2021-04-30,0.929139275888106,0.07071598891727698,0.00014473519461690048
2021-05-31,0.9040720302415788,0.09231283178421752,0.003615137974203608
2021-06-30,0.8951133137356079,0.08976631701221792,0.01512036925217423
2021-07-31,0.8966510240041115,0.098071349674431,0.005277626321457688
2021-08-31,0.890914898065999,0.10905633083835313,2.8771095647898513e-05
2021-09-30,0.2549036654304119,0.18262084255944486,0.5624754920101434
2021-10-31,0.9270361221930655,0.07113482022711254,0.0018290575798221313
2021-11-30,0.8838867533047692,0.11610015926102303,1.308743420770989e-05
2021-12-31,0.7152002396659948,0.15872628095484012,0.12607347937916513
2022-01-31,0.012497381042001866,0.11814314883577835,0.8693594701222199
2022-02-28,0.07329940330333252,0.14774144447617474,0.7789591522204928
2022-03-31,0.7848576977836422,0.15150317000472202,0.06363913221163582
2022-04-30,0.0002810494471467808,0.07575252012308696,0.9239664304297662
2022-05-31,0.00013921568233230577,0.08552821132398843,0.9143325729936793
2022-06-30,2.847783967220315e-05,0.033188451369704705,0.966783070790623
2022-07-31,9.049316950089713e-06,0.06670516252703035,0.9332857881560196
2022-08-31,0.006142488258027394,0.060029814223312314,0.9338276975186602
2022-09-30,3.511025428221336e-07,0.02923797441440187,0.9707616744830552
2022-10-31,3.6496187917863183e-10,0.03409845746208687,0.9659015421729512
2022-11-30,0.0007667277872912056,0.07170058386987273,0.9275326883428361
2022-12-31,1.0649203252415464e-05,0.04568605672755967,0.9543032940691879
2023-01-31,0.0238288450225777,0.07849731833173472,0.8976738366456876
2023-02-28,0.9198553702046735,0.07258257985217673,0.007562049943149801
2023-03-31,0.05317018021880702,0.09818639039873883,0.8486434293824542
2023-04-30,0.8916264245958755,0.10816655624316854,0.00020701916095595857
2023-05-31,0.8929162212060405,0.10701613753179423,6.764126216520704e-05
2023-06-30,0.8860943869576403,0.11390561304235979,3.0753896823873938e-18
2023-07-31,0.8779488862898006,0.12205111371019803,1.313109538600986e-15
2023-08-31,0.8760272006278449,0.12397279937215507,3.772584633904003e-17
2023-09-30,0.8932887730995459,0.1067112269004542,1.9926080728315942e-19
2023-10-31,0.8763589540197166,0.12355105726042266,8.998871986049881e-05
2023-11-30,0.893471256103132,0.10633422371731908,0.00019452017954874257
